2026-03-07 20:33:30 | crawler.gemini_key_rotator | INFO | 🔑 Loaded 11 Gemini API keys for rotation
2026-03-07 20:33:56 | crawler.gemini_key_rotator | INFO | 🔄 Rotated API key: ...vvdOTYio → ...7HOuUVAQ (reason: rate_limit)
2026-03-07 20:34:03 | crawler.gemini_key_rotator | INFO | 🔄 Rotated API key: ...7HOuUVAQ → ...2mnOgfck (reason: rate_limit)
2026-03-07 20:34:10 | crawler.gemini_key_rotator | INFO | 🔄 Rotated API key: ...2mnOgfck → ...zHeHct_A (reason: rate_limit)
2026-03-07 20:38:47 | crawler.gemini_key_rotator | INFO | 🔑 Loaded 11 Gemini API keys for rotation
2026-03-07 20:41:02 | crawler.gemini_key_rotator | INFO | 🔑 Loaded 11 Gemini API keys for rotation
2026-03-07 20:42:16 | crawler.gemini_key_rotator | INFO | 🔄 Rotated API key: ...vvdOTYio → ...7HOuUVAQ (reason: rate_limit)
2026-03-07 20:42:58 | crawler.gemini_key_rotator | INFO | 🔄 Rotated API key: ...7HOuUVAQ → ...2mnOgfck (reason: rate_limit)
2026-03-07 20:47:01 | crawler.gemini_key_rotator | INFO | 🔑 Loaded 11 Gemini API keys for rotation
2026-03-07 20:47:43 | crawler.gemini_key_rotator | INFO | 🔄 Rotated API key: ...vvdOTYio → ...7HOuUVAQ (reason: rate_limit)
2026-03-07 20:47:58 | crawler.gemini_key_rotator | INFO | 🔄 Rotated API key: ...7HOuUVAQ → ...2mnOgfck (reason: rate_limit)
