2026-04-01 11:05:07 | crawler.gemini_key_rotator | INFO | 🔑 Loaded 12 Gemini API keys for rotation
2026-04-01 11:05:09 | crawler.redis_cache | INFO | ℹ️  Redis not available (using in-memory cache): Error 10061 connecting to 127.0.0.1:6379. No connection could be made because the target machine actively refused it.
2026-04-01 11:05:09 | crawler.ai_detector | INFO | 🤖 Gemini element detector initialized (model: gemini-3.1-flash-lite-preview)
2026-04-01 11:05:09 | crawler.gemini_key_rotator | INFO | 🔑 Loaded 12 Gemini API keys for rotation
2026-04-01 11:05:09 | crawler.ai_detector | INFO | 🤖 Gemini element detector initialized (model: gemini-3.1-flash-lite-preview)
2026-04-01 11:05:09 | crawler.link_extractor | INFO | 🤖 Gemini AI detector enabled with 12 API keys
2026-04-01 11:05:09 | crawler.link_extractor | INFO | LinkExtractor initialized (same_origin=True, AVB=ON, intelligent_filter=ON, snapshots=ON)
2026-04-01 11:05:09 | crawler.gemini_key_rotator | INFO | 🔑 Loaded 12 Gemini API keys for rotation
2026-04-01 11:05:09 | crawler.ai_enricher | INFO | ✅ Gemini AI enrichment enabled with 12 API keys (gemini-3.1-flash-lite-preview)
2026-04-01 11:05:09 | crawler.interaction_sim | INFO | InteractionSimulator initialized (submit_forms=False, expand=True)
2026-04-01 11:05:18 | crawler.link_extractor | INFO | 🎯 Found 7 clickable elements (traditional detection)
2026-04-01 11:05:18 | crawler.link_extractor | INFO | 🌓 Added 7 shadow DOM elements
2026-04-01 11:05:18 | crawler.link_extractor | INFO | 🔄 Deduplication: 14 → 7 elements (removed 7 duplicates)
2026-04-01 11:05:18 | crawler.link_extractor | INFO | 🧠 After intelligent filtering: 7 unique components
2026-04-01 11:05:25 | crawler.link_extractor | INFO | ✅ AVB: 'Our Doctors' → http://localhost:3008/doctors
2026-04-01 11:05:25 | crawler.link_extractor | INFO | ✅ AVB: 'Book Appointment' → http://localhost:3008/appointment
2026-04-01 11:05:25 | crawler.link_extractor | INFO | ✅ AVB: 'Patient Registration' → http://localhost:3008/patient-register
2026-04-01 11:05:32 | crawler.link_extractor | INFO | 🔍 Action-Verify-Back: 3/6 clicks discovered URLs (3 unique)
2026-04-01 11:05:32 | crawler.link_extractor | INFO | ⏭️  Skipped 3 duplicate URLs during AVB
2026-04-01 11:05:32 | crawler.link_extractor | INFO | 🔗 Extracted 4 unique links
2026-04-01 11:05:39 | crawler.interaction_sim | INFO | 🔍 Hidden elements discovered: 0 accordions, 0 menus
2026-04-01 11:05:40 | crawler.ai_detector | INFO | 🤖 Form detection: Analyzing screenshot with Gemini (API call #1)
2026-04-01 11:05:40 | crawler.ai_detector | WARNING | ⚠️  API key quota exceeded (attempt 1/12)
2026-04-01 11:05:40 | crawler.gemini_key_rotator | INFO | 🔄 Rotated API key: ...iXtO13KI → ...vvdOTYio (reason: rate_limit)
2026-04-01 11:05:40 | crawler.ai_detector | INFO | 🔄 Switching to next API key...
