2026-04-01 10:53:57 | crawler.gemini_key_rotator | INFO | 🔑 Loaded 12 Gemini API keys for rotation
2026-04-01 10:54:11 | crawler.redis_cache | INFO | ℹ️  Redis not available (using in-memory cache): Error 10061 connecting to 127.0.0.1:6379. No connection could be made because the target machine actively refused it.
2026-04-01 10:54:11 | crawler.ai_detector | INFO | 🤖 Gemini element detector initialized (model: gemini-3.1-flash-lite-preview)
2026-04-01 10:54:11 | crawler.gemini_key_rotator | INFO | 🔑 Loaded 12 Gemini API keys for rotation
2026-04-01 10:54:11 | crawler.ai_detector | INFO | 🤖 Gemini element detector initialized (model: gemini-3.1-flash-lite-preview)
2026-04-01 10:54:11 | crawler.link_extractor | INFO | 🤖 Gemini AI detector enabled with 12 API keys
2026-04-01 10:54:11 | crawler.link_extractor | INFO | LinkExtractor initialized (same_origin=True, AVB=ON, intelligent_filter=ON, snapshots=ON)
2026-04-01 10:54:11 | crawler.gemini_key_rotator | INFO | 🔑 Loaded 12 Gemini API keys for rotation
2026-04-01 10:54:11 | crawler.ai_enricher | INFO | ✅ Gemini AI enrichment enabled with 12 API keys (gemini-3.1-flash-lite-preview)
2026-04-01 10:54:11 | crawler.interaction_sim | INFO | InteractionSimulator initialized (submit_forms=False, expand=True)
2026-04-01 10:54:21 | crawler.link_extractor | INFO | 🎯 Found 5 clickable elements (traditional detection)
2026-04-01 10:54:21 | crawler.link_extractor | INFO | 🌓 Added 7 shadow DOM elements
2026-04-01 10:54:21 | crawler.link_extractor | INFO | 🔄 Deduplication: 12 → 6 elements (removed 6 duplicates)
2026-04-01 10:54:21 | crawler.link_extractor | INFO | 🧠 After intelligent filtering: 6 unique components
2026-04-01 10:54:28 | crawler.link_extractor | INFO | ✅ AVB: 'Products' → http://localhost:3006/products
2026-04-01 10:54:28 | crawler.link_extractor | INFO | ✅ AVB: 'Cart' → http://localhost:3006/cart
2026-04-01 10:54:28 | crawler.link_extractor | INFO | ✅ AVB: 'Checkout' → http://localhost:3006/checkout
2026-04-01 10:54:33 | crawler.ai_detector | INFO | 🤖 Form detection: Analyzing screenshot with Gemini (API call #1)
2026-04-01 10:54:34 | crawler.ai_detector | WARNING | ⚠️  API key quota exceeded (attempt 1/12)
2026-04-01 10:54:34 | crawler.gemini_key_rotator | INFO | 🔄 Rotated API key: ...iXtO13KI → ...vvdOTYio (reason: rate_limit)
2026-04-01 10:54:34 | crawler.ai_detector | INFO | 🔄 Switching to next API key...
2026-04-01 10:54:37 | crawler.ai_detector | INFO | ✅ AI Vision: Detected 1 forms
2026-04-01 10:54:37 | crawler.link_extractor | INFO | 📦 Stored component state: http://localhost:3006/#component-sign-in
2026-04-01 10:54:37 | crawler.link_extractor | INFO | 🔍 Action-Verify-Back: 3/5 clicks discovered URLs (3 unique)
